Date,Open,High,Low,Close,Adj Close,Volume
2011-04-13,2450.000000,2450.000000,2400.000000,2450.000000,2286.034668,90000
2011-04-14,2475.000000,2475.000000,2425.000000,2475.000000,2309.361572,171500
2011-04-15,2450.000000,2475.000000,2425.000000,2450.000000,2286.034668,572000
2011-04-18,2425.000000,2425.000000,2425.000000,2425.000000,2262.707764,95000
2011-04-19,2400.000000,2425.000000,2400.000000,2400.000000,2239.380859,59000
2011-04-20,2375.000000,2425.000000,2375.000000,2375.000000,2216.053955,593000
2011-04-21,2375.000000,2425.000000,2375.000000,2375.000000,2216.053955,265500
2011-04-25,2400.000000,2400.000000,2375.000000,2400.000000,2239.380859,155500
2011-04-26,2400.000000,2425.000000,2375.000000,2400.000000,2239.380859,644000
2011-04-27,2600.000000,2650.000000,2425.000000,2600.000000,2425.995850,3
2011-04-28,3050.000000,3050.000000,2625.000000,3050.000000,2845.879883,11116500
2011-04-29,2975.000000,3100.000000,2925.000000,2975.000000,2775.898926,1956500
2011-05-02,2975.000000,3000.000000,2925.000000,2975.000000,2775.898926,521500
2011-05-03,2825.000000,2950.000000,2825.000000,2825.000000,2635.937744,1244500
2011-05-04,2800.000000,2825.000000,2775.000000,2800.000000,2612.610840,1622000
2011-05-05,2950.000000,2975.000000,2800.000000,2950.000000,2752.572021,1714500
2011-05-06,2950.000000,2950.000000,2900.000000,2950.000000,2752.572021,233000
2011-05-09,2875.000000,2900.000000,2850.000000,2875.000000,2682.591553,530000
2011-05-10,2875.000000,2900.000000,2850.000000,2875.000000,2682.591553,419500
2011-05-11,2875.000000,2900.000000,2850.000000,2875.000000,2682.591553,220000
2011-05-12,2925.000000,2925.000000,2850.000000,2925.000000,2729.245361,431500
2011-05-13,2900.000000,2925.000000,2900.000000,2900.000000,2705.918457,193500
2011-05-16,2875.000000,2900.000000,2875.000000,2875.000000,2682.591553,353000
2011-05-18,2925.000000,2975.000000,2875.000000,2925.000000,2729.245361,275500
2011-05-19,3000.000000,3050.000000,2925.000000,3000.000000,2799.226074,1636500
2011-05-20,3000.000000,3025.000000,3000.000000,3000.000000,2799.226074,524500
2011-05-23,2875.000000,3000.000000,2875.000000,2875.000000,2682.591553,859500
2011-05-24,3000.000000,3025.000000,2900.000000,3000.000000,2799.226074,1424000
2011-05-25,3000.000000,3025.000000,2975.000000,3000.000000,2799.226074,660500
2011-05-26,3100.000000,3100.000000,3000.000000,3100.000000,2892.533691,1210000
2011-05-27,3175.000000,3250.000000,3075.000000,3175.000000,2962.514160,1339500
2011-05-30,3150.000000,3225.000000,3125.000000,3150.000000,2939.187256,459500
2011-05-31,3125.000000,3175.000000,3125.000000,3125.000000,2915.860596,312000
2011-06-01,3125.000000,3175.000000,3125.000000,3125.000000,2915.860596,459500
2011-06-03,3100.000000,3125.000000,3100.000000,3100.000000,2892.533691,171000
2011-06-06,3100.000000,3100.000000,3075.000000,3100.000000,2892.533691,261000
2011-06-07,3075.000000,3075.000000,3050.000000,3075.000000,2869.206787,138500
2011-06-08,3050.000000,3100.000000,3050.000000,3050.000000,2845.879883,558500
2011-06-09,3050.000000,3075.000000,3025.000000,3050.000000,2845.879883,126000
2011-06-10,3025.000000,3050.000000,3025.000000,3025.000000,2822.552979,243000
2011-06-13,3000.000000,3025.000000,3000.000000,3000.000000,2799.226074,98000
2011-06-14,3025.000000,3050.000000,3025.000000,3025.000000,2822.552979,144000
2011-06-15,3025.000000,3050.000000,3025.000000,3025.000000,2822.552979,434000
2011-06-16,3000.000000,3025.000000,3000.000000,3000.000000,2799.226074,239000
2011-06-17,3000.000000,3025.000000,3000.000000,3000.000000,2799.226074,87000
2011-06-20,2950.000000,3025.000000,2950.000000,2950.000000,2752.572021,124500
2011-06-21,3000.000000,3025.000000,2950.000000,3000.000000,2799.226074,361500
2011-06-22,3075.000000,3075.000000,3025.000000,3075.000000,2869.206787,108500
2011-06-23,3100.000000,3100.000000,3075.000000,3100.000000,2892.533691,106000
2011-06-24,3150.000000,3200.000000,3100.000000,3150.000000,2939.187256,306000
2011-06-27,3175.000000,3175.000000,3000.000000,3175.000000,2962.514160,191500
2011-06-28,3175.000000,3175.000000,3100.000000,3175.000000,2962.514160,162000
2011-06-30,3250.000000,3275.000000,3175.000000,3250.000000,3032.494873,569500
2011-07-01,3250.000000,3350.000000,3250.000000,3250.000000,3032.494873,714500
2011-07-04,null,null,null,null,null,null
2011-07-05,3175.000000,3200.000000,3125.000000,3175.000000,2962.514160,492000
2011-07-06,3275.000000,3300.000000,3225.000000,3275.000000,3055.821777,681000
2011-07-07,3275.000000,3300.000000,3275.000000,3275.000000,3055.821777,186500
2011-07-08,3400.000000,3475.000000,3300.000000,3400.000000,3172.456055,916500
2011-07-11,3375.000000,3450.000000,3350.000000,3375.000000,3149.129150,604000
2011-07-12,3300.000000,3375.000000,3300.000000,3300.000000,3079.148682,661000
2011-07-13,3450.000000,3450.000000,3325.000000,3450.000000,3219.109863,617500
2011-07-14,3550.000000,3575.000000,3450.000000,3550.000000,3312.417236,880500
2011-07-15,3575.000000,3625.000000,3575.000000,3575.000000,3335.744141,382000
2011-07-18,3625.000000,3625.000000,3550.000000,3625.000000,3382.397949,555500
2011-07-19,3675.000000,3725.000000,3625.000000,3675.000000,3429.052002,3896000
2011-07-20,3775.000000,3825.000000,3700.000000,3775.000000,3522.359375,2076500
2011-07-21,3800.000000,3825.000000,3750.000000,3800.000000,3545.686279,1060000
2011-07-22,3775.000000,3850.000000,3775.000000,3775.000000,3522.359375,1173500
2011-07-25,3750.000000,3775.000000,3675.000000,3750.000000,3499.032715,947000
2011-07-26,3700.000000,3775.000000,3700.000000,3700.000000,3452.378906,484500
2011-07-27,3775.000000,3800.000000,3700.000000,3775.000000,3522.359375,364000
2011-07-28,3800.000000,3800.000000,3675.000000,3800.000000,3545.686279,610500
2011-07-29,3800.000000,3850.000000,3725.000000,3800.000000,3545.686279,551000
2011-08-01,3850.000000,3900.000000,3800.000000,3850.000000,3592.340088,762000
2011-08-02,3925.000000,3950.000000,3850.000000,3925.000000,3662.320801,668000
2011-08-03,3900.000000,3925.000000,3825.000000,3900.000000,3638.993896,889500
2011-08-04,4000.000000,4000.000000,3900.000000,4000.000000,3732.301270,661000
2011-08-05,3950.000000,3950.000000,3600.000000,3950.000000,3685.647705,2286000
2011-08-08,3800.000000,3850.000000,3650.000000,3800.000000,3545.686279,1576000
